Timestamp,Unix,Difficulty,Task
"Fri Dec 03 2021, 14:20:38",1638541239,0,Resetting
"Fri Dec 03 2021, 14:20:39",1638541240,4,Task
"Fri Dec 03 2021, 15:22:06",1638544927,4,Task
"Fri Dec 03 2021, 15:22:07",1638544928,0,Resetting
"Sat Dec 04 2021, 10:40:50",1638614451,0,Resetting
"Sat Dec 04 2021, 10:40:51",1638614452,7,Task
"Sat Dec 04 2021, 11:26:40",1638617200,7,Task
"Sat Dec 04 2021, 11:26:41",1638617201,0,Resetting
"Sat Dec 04 2021, 11:46:12",1638618373,0,Resetting
"Sat Dec 04 2021, 11:46:13",1638618374,8,Task
"Sat Dec 04 2021, 12:19:58",1638620398,8,Task
"Sat Dec 04 2021, 12:19:59",1638620399,0,Resetting
"Sat Dec 04 2021, 12:28:00",1638620881,0,Resetting
"Sat Dec 04 2021, 12:28:01",1638620882,2,Task
"Sat Dec 04 2021, 12:45:08",1638621909,2,Task
"Sat Dec 04 2021, 12:45:09",1638621910,0,Resetting
"Sat Dec 04 2021, 14:20:37",1638627637,0,Resetting
"Sat Dec 04 2021, 14:20:38",1638627638,6,Task
"Sat Dec 04 2021, 16:21:12",1638634872,6,Task
"Sat Dec 04 2021, 16:21:13",1638634873,0,Resetting
"Sat Dec 04 2021, 19:13:49",1638645230,0,Resetting
"Sat Dec 04 2021, 19:13:50",1638645231,9,Task
"Sat Dec 04 2021, 20:37:02",1638650223,9,Task
"Sat Dec 04 2021, 20:37:03",1638650224,0,Resetting
"Sun Dec 05 2021, 12:45:22",1638708323,0,Resetting
"Sun Dec 05 2021, 12:45:23",1638708324,4,Task
"Sun Dec 05 2021, 13:13:10",1638709991,4,Task
"Sun Dec 05 2021, 13:13:11",1638709992,0,Resetting
"Sun Dec 05 2021, 13:30:23",1638711024,0,Resetting
"Sun Dec 05 2021, 13:30:24",1638711025,8,Task
"Sun Dec 05 2021, 14:00:25",1638712826,8,Task
"Sun Dec 05 2021, 14:00:26",1638712827,0,Resetting
"Sun Dec 05 2021, 15:14:01",1638717242,0,Resetting
"Sun Dec 05 2021, 15:14:02",1638717243,7,Task
"Sun Dec 05 2021, 16:15:18",1638720918,7,Task
"Sun Dec 05 2021, 16:15:19",1638720919,0,Resetting
"Sun Dec 05 2021, 17:03:32",1638723813,0,Resetting
